ID,Medicine,Website,Source,Link,Review title or reviewer name,Review,Stars,People found the review helpful,Date,Reviewer characteristics,Helps overall with kidney stones,Helps overall with gallstones,Says that has suffered from condition for a long time (>1 year),Someone who makes large amounts of stones (>10 total),Asserts significant reduction in pain on net,Provides detailed background,Works as a prophylactic,Mentions breaking of stones,Mentions shrinking of the stones,Mentions softening of stones,Mentions stone gravel/dust/dissolved,"Stone came out soon after taking it (3 day window or ""a few days later"")",Deferences,Medical personel was surprised or skeptical,Significant (>50%) pain relief within 24 hours,Significant (>50%) pain relief within a week,Consumption method,Dose,Stone characteristics,Provides contact info,Admits it sounds non-credible/identifies as a skeptic,Stone passed with no or almost no pain,Provides objective measurements,Comments,Promotes specific brand,Speaks for someone else,Side effects mentioned,Super high quality,Incredible accounts,Unexpected Positives,Length Filtered,Length (words),Classification method
146,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,It works and the proposed chemistry makes sense.,"I have had severe troubles with kidney stones over the years, and the Rowatinex capsules have helped me greatly. From what I have seen myself, Rowatinex helps reduce the pain of passing stones and helps the body make softer ""matrix-type"" stones that are easier to pass. I am a chemist, and I have read the literature about this medication. The proposed chemistry for how these pills work makes chemical sense. If you form calcium oxalate-type stones, this medication should make the calcium more soluble in your urine, and greater solubility means less calcium oxalate stone formation and likely softer ""matrix-type"" stones, if stones do form.",5,13,2017-07-11,,1,,1,,1,1,,,,1,1,,,,,,,,"Softer stones are easier to pass, aka 'Matrix-type' stones! Calcium oxalate-type stones.",,,,,"Said to be particularly effective for calcium oxalate-type stones, as it's thought that the product increases calcium's solubility in urine.",Rowatinex,,,1,,,,105,Manual
147,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,If you have kidney stones and don't know what to ...,"If you have kidney stones and don't know what to do, then this is the cure! I've known about this medicine since I lived in Honduras over ten years ago. If I could give it a ten stars review I would.",5,2,2017-07-05,Was aware of the medication since living in Honduras a decade ago.,1,,1,,,,,,,,,,,,,,,,,,,,,Product touted by the reviewer as a curative.,,,,,,,,41,Manual
148,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,I started using this product after a very painful experience with a kidney stone that required surgery to ...,I started using this product after a very painful experience with a kidney stone that required surgery to remove. Rowatinex was recommended to me by a physician at the local clinic. She told me to take 2 tablets 3 times a day for a week any time I felt like a stone was beginning to be become a problem. I have used this product for 3 years now feel that it really works!,5,5,2017-06-25,Have used product for 3 years.,1,,1,,1,,1,,,,,,A better alternative to the surgery experienced during one kidney stone.,0,,1,consume product when a stone seemed like it was becoming more problematic and serious.,take 2 tablets 3 times a day for a week any time a stone felt like it was becoming a problem.,the one that was surgically removed was 'very painful'.,,,,,"Contrary to many accounts, much like an earlier review, a physician recommended this product rather than express skepticism about it like many others do.",Rowatinex,,,,,,,73,Manual
149,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Great product!,"Great product, tried other kidney stone treatments with no results. Was diagnosed with 8mm stone in ureter they wanted me to have surgery to have it removed & didn't think I'd pass it due to size and it had been 3 months. After taking rowainex for 5 days i passed it on the morning of the sixth. Hope it works as well for others. N.K.",5,12,2017-04-16,,1,,,,,,,,1,,,1,A preferable alternative to the surgery proposed by doctors. Other previously tried kidney stone treatments yielded no results before Rowatinex.,,,1,,Rowatinex was consumed for 5 days.,Stone passed on the 6th day after the 5 days of Rowatinex. 8mm and stuck in urethra for 3 months until Rowatinex.,1,,,,,Rowatinex,,,,,,,65,Manual
150,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,I don't write reviews but need to get word out ...,I don't write reviews but need to get word out these pills work. These stones sent me to ER Doctor said couldn't pass but did,5,15,2017-04-08,,1,,,,,,,,1,,,,Preferable to ER treatments.,1,,,pills,,,,,,Photograph of stones provided.,,,,,,,,,25,Manual
151,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Works very well to my kidney stone,Seems works well for calcium based stones. CT verified that the stone disappeared after 3 weeks usage. Original stone size: 3x5 mm.,5,1,2017-03-03,,1,,,0,,,,,,,,0,,,,,,3 weeks usage,"3x5mm, calcium based, disappeared after the 3 weeks of treatment.",,,,CT scan verified stone disappeared after the 3 weeks. ,"Asserts, like a previous user, that it is particularly effective for calcium-based stones.",,,,,,,,22,Manual
152,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Breaks down kidney stones,Works excellent on kidney stones. It takes about a week or so to dissolve/break down the stones. I've used this product as necessary for 5+ years now.,5,3,2016-12-01,Used as necessary for over 5 years.,1,,1,,,,,1,,,1,1,,,,1,take for about a week or so.,a week's worth or so.,"2 smaller stones and 1 larger stone, next to a penny for scale.",,,,Photographs provided.,,,,,,,,,27,Manual
153,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Five Stars,"Best medication for kidney stones. It was really helpful. Thanks!",5,,2016-11-25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Manual
154,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,This medicine is worked very good for my kidney stone,The price is still high. Can you have a lower price? This medicine is worked very good for my kidney stone. Thanks you very much!,4,,2016-11-23,,1,,,1,,,,,,,,,,,,,,,,,,,,Too pricey (on Amazon's part?) for the customer.,,,,,,,,25,Manual
155,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Rowintinex came highly recommended by a friend,"Rowintinex came highly recommended by a friend. I had a 5.8 x 3.5 stone ,two months later following the directions ,the stone had passed. I did have a breif pain and some nausea, in which i took a prescribed Percocet accompanied by prescribed nausea medication,which kicked in aprox 45 muns after taking. Did urinate a couple of times with some strain,not pain and saw nothing. My educated guess is the Stone had diminished to particle. My freind that recommended Rowatinex to me was pleased to hear,and reminded me he had seen with many others the same outcome. So my advice is,its certainly worth a shot.",5,4,2016-07-17,"Reviewer was recommended Rowatinex by a friend, and that friend witnessed Rowatinex's effectiveness when others used it before as per that friend's recommendations to others. Reviewer also used Percocet for pain as well as prescribed medication for nausea.(user mentioned 45 minute long onset; unclear whether referring to Percocet, nausea meds or both.",1,,0,0,1,1,,,,,1,0,,,,,2 months of treatment.,2 months of treatment,5.8x3.5 (mm?),,,1,,"Urination, despite diminished pain, was still accompanied by strain.",Rowatinex,,"Brief pain and some nausea (unclear whether reviewer meant as an effect of the treatment, or of the stone).",,,,,105,Manual
156,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Worked brilliantly for me,This combined with Phosphood will do the trick and get rid of the kidney stones. Worked brilliantly for me. And once every 6 months for preventative measures as well. Brilliant.,5,,2016-05-03,Taken combined with Phosphood,1,,1,,,,1,,,,,,,,,,Taken once every 6 months as preventative measure.,Taken one time every 6 months as a preventative measure.,,,,,,,,,,,,,,30,Manual
157,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,It works.,"Its saving my sister's life , her pain its better than before , the stone is still there but she got her life back.",5,,2016-04-13,,1,,1,,1,,,,,,,0,,,,,,,"The pain is better, but the stone is ""still there"" !",,,,,,,1,,,,"Sister has ""got her life back"", despite the stone still being present. A ""life-saver"".",,24,Manual
158,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Amazing results.,"I don't know how these pills work, all I know I purchased these for my uncle while he was in agony over kidney stones. Over night the pills helped break up the stone into small chunks. He was back to normal within two days.",5,1,2015-07-06,Written on behalf of the reviewer's uncle.,1,,,,1,,,1,,,1,1,,,1,,,,The product helped to break the stones up into smaller chunks.,,,,,Back to normal within 2 days of using this product.,,1,,,,,,44,Manual
159,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,it works!,My go to remedy for kidney stones it works great i just hope the seller will give me a discount next time i buy anything from them!,5,1,2015-05-28,Wants a discount next time!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Manual
160,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Five Stars,Best for kidney stone!!!!!!!!,5,1,2015-01-20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Manual
161,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Five Stars,"good for kidney stones",5,,2014-09-07,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Manual
162,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,My son had stones and had to go to hospital ...,My son had stones and had to go to hospital. I review the product and purchase it to prevent future issues. He told me he felt a stone went out with out pain last week so he will continue using it until he complete the first bottle. Since then he is been taking the pils for over a year and he feels much better and a few stones came out with out pain. I recommend the product.,5,1,2014-07-11,Reviewed on behalf of son.,1,,1,,1,,1,,,,,,Preferable to hospital.,,,,Has been taking the pills for over a year.,"After one of the stones evacuated, will keep taking it until first bottle runs out.",,,,1,,,,1,,,,,,77,Manual
163,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Wonderful product.,I'm not sure how to put this into so many technical words since I never tried to catch the stone in a basket but the product seemed to at the very least soothe my kidney and I do believe it actually passed after about a week of taking the product. If I need help in the future with kidney stone I Will get this product.,5,2,2014-05-03,,1,,0,0,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,65,Manual
164,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Rowatinex,"Was looking for a medicine for kidney stones and this I found very good and I really do not disappoint me, delivery was fast well, all well packed and in good condition, I recommend it 100%",5,,2014-04-12,,1,,,,,,,,,,,,,,,,,,,,,,,,Rowatinex,,,,,,,36,Manual
165,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Stones,"Bought these for my son, who refuses to go to the hospital when he gets kidney stones. He has had them several times but this time was the worse. It was like day 4 and they weren't letting up. I overnighted these and after two days of taking them he did pass the stone. I don't know if it was just time or if the pills really helped but I would surely buy these again. Better safe than sorry.",5,5,2014-03-07,Reviewed on behalf of his son.,1,,,,,,,,,,,1,son refuses to go to hospital when he gets stones.,,,1,,Stone passed after two days of taking product.,The stone was stuck for around 4 days before Rowatinex was tried.,,,,,"Son has had kidney stones several times before in the past, with this most recent episode where they resorted to Rowatinex being the worst. ",,1,,,,,,79,Manual
166,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,amazing for kidney stones!,"I had 3 stones and this was recommended by a doctor, he thought that i would still need to have a procedure, but after taking them for 2 weeks, i had a ct scan done / xrays and ultrasound, where they found that the stones had some how passed, I can only credit it to these miracle capsules!",5,2,2014-02-24,Reviewer lauds these 'miracle capsules'.,1,,0,0,1,,,,,,1,0,did not need a procedure done by Dr after succesfully treating stones with product.,0,,,,Product used across a 2 week period.,Had 3 stones.,,,1,"CT scan/X-Rays and Ultrasound confirmed the absence of stones, and thus, their passing already.","Contrary once again to the skeptical Dr trope, this treatment was recommended to this reviewer by a Dr. Dr still thought the condition required procedural intervention, however.",,,,,,,,58,Manual
167,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Great for kidney stones!,Great for kidney stones! This is my weapon of choice for kidney stones just as the green ones this same company sells called Rowachol (sp?) are my first choice for gallstones! And you know you have gallstones if at even one point in your life you have felt a jagged glass like pain on your right side below your rib cage???? But whatever they don't want you to say for yourself what the problem is when you visit the Doctor this product cured it.,5,2,2014-02-12,"Is also enthusiastic about Rowachol, Rowatinex's 'counterpart' used in the treatment of gallstones. ",1,1,,,,,,,,,,,,1,,,,,,,,,,Also touts this treatment as a curative.,"Rowatinex, Rowachol",,,,,,,84,Manual
168,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Great product. I hope amazon have all the time.,After taking it for a few weeks I was able to see some sand in my urine. I bought a second box from amazon competition because I didn't find it here. I am hoping it will dissolve all my kidney stones. I will update after I get an x ray in a few weeks. Thank you,5,1,2014-01-28,,,,,,,,,,,,1,,,,,,,Taken over a period of around a few weeks.,,,,,Upcoming X-Ray in a few weeks after review submission date.,,,,,,,,,56,Manual
169,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,not quite sure,we thought these ingredients have a greater impact on stones. but we could not perceive a difference and we took 'em for quite some time. i guess they work better for some and not for others.,3,2,2014-01-06,"professed to not experience any difference using this product, yet still have it 3 out of 5 stars. Allegedly no difference even after using product for ""some time"".",0,,,,0,,0,0,0,0,0,0,,,0,0,,,,,1,0,,"Was expecting a greater impact, thus were not impressed by the product which seemed to be a failure for this user; the user seemed sceptical at first, only to remain so or become one to a greater degree after the disappointing performance of the product for this user. May work for some whilst not very well for others - ""your mileage may vary"".",,,,,,,,36,Manual
170,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,"Thank You for the sale, the product works perfectly",The product worked on me perfectly! I was very satisfied with this purchase. In just a couple of days I was done with having kidney stone problems and taking it in a regular basis keeps you all better,5,,2013-12-09,Very satisfied with the purchase.,1,,,,,,1,,,,,1,,,,1,Takes it on a regular basis.,Kidney stone problems cleared after a few days of product use.,,,,,,,,,,,,,,38,Manual
171,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,My stone finally passed!,"Severe pain sent me to ER. Started drinking more fluid, including lemonade juice + olive oil and apple cider vinegar with water, and taking Flomax. Ordered Rowatinex 10 days after stone was found, 2 pills x 3 daily. Passed the stone 26 days after stone was found, or 17 days after taking Rowatinex. The stone caught was the same size as the original size detected by CT scan. So Rowatinex apparently did not dissolve the stone. Did it help with passing my stone? I am not 100% sure. A lot of people with painful kidney stones started to drink a lot of fluid while on Rowatinex. Thus, it is difficult to attribute the successful passing of the stone entirely to Rowatinex, at the least. Maybe, Rowatinex is helpful more on prevention, rather than on treating already-formed kidney stones. Good luck to those who suffer from the pains of having a kidney stone.",3,5,2013-11-16,"Pain resulted in trip to ER. Unsure if stone passing was just Rowatinex, just increased fluid intake, or a combination of both to whatever degree",1,,0,0,,1,1,0,0,0,0,0,,,,,"Taken in conjunction with drinking more fluid like lemonade juice and olive oil, apple cider vinegar with water and Flomax.",2 pills x 3 daily ,"The stone passed was still the same size as it was when shown by a CT scan, indicating no breaking, shrinking, dissolving etc.",,,,CT scan (for size measurements).,"Ordered Rowatinex 10 days after discovering stone. Stone passed 26 days after discovery, or 17 days after stone discovery.",,,,,,,,152,Manual
172,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,No more kidney stones or discomfort,"No more kidney stones or discomfort. Since I am using this product I don't have any more discomfort with my kidneys. I am very consistent in order to insure that I don't get kidney stone, that combined with not drinking soda and citrus juices.",5,3,2013-07-11,,1,,,,1,,1,,,,,,,,,,Taken in conjunction with abstaining from citrus juices and soda drinks. Also taken consistently as a preventative.,,,,,,,,,,,,,,,44,Manual
173,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Maximo,"Rowatinex is a very reliable product that anyone can trust on it because it helps to remove little stones from kidneys, it has to be taken for a long period of time.",4,3,2013-06-16,Finds the product very reliable.,1,,,,,,,,1,,,,,,,,"Has to be taken over ""a long period of time"".",,,,,,,,Rowatinex,,,,,,,32,Manual
174,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,good item,Not just myself but a lot of people uses this capsules that can help you to get rid of kidney stones. For me works fine and also for another friend of mine! So fare no complaints about,5,,2013-05-17,"Lauds it's effectiveness not only for own kidney stones, but also for others with the condition, including a friend.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Manual
175,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,It works and is a lot cheaper than a visit to the ER,"About 4 weeks ago I had a kidney stone attack and went to the ER. The CT scan showed that I had 5 (4mm) stones. 1 about to make its way out and the others in the left and right kidneys. The ER MD gave me some Flomax to pass the stone that was on its way out, and suggested that I see a urologist to have the other 4 removed. My GF did some research and came across Rowatinex. While skeptical at first, the Amazon reviews helped make my decision easier. If it worked it would be a lot cheaper than having Lithotripsy. I placed the order Sunday afternoon after leaving the ER and received the package in Wednesday's mail. The first few days I took Flomax and Vicodin to keep the pain in check. Once I started on the Rowatinex I felt no more pain and stopped taking the prescription drugs. I never felt any discomfort nor did I feel any stones passing. The latest x-rays taken this week did not show any stones. This stuff is really amazing and saved me a bundle in medical procedure costs.",5,6,2013-03-15,Had to go to ER because of a stone attack roughly 4 weeks or so before trying Rowatinex. ,1,,,,1,1,1,,,,1,,Cheaper than lithotripsy.,,,1,,,"5x4mm stones. 1 stone appeared to be on it's way out, with the other 4 still remaining, in both left and right kidneys.",,1,1,"CT scan revealed the 5 stones. The most recent x-ray revealed no stones, hence the success of using Rowatinex treatment.","Was given Flomax by ER doctor after stone attack, then consumed Flomax and Vicodin to help with the pain during the first few days after first receiving the Rowatinex in the mail.",Rowatinex ,,,1,,saved the reviewer a significant amount of money which would've been spent on expensive medical procedures otherwise.,,190,Manual
176,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,The stuff works!,It helped reduce the size of my spouse's kidney stone. This herbal preparation is being used all over the world.,4,2,2013-02-14,speaking on behalf of spouse.,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,20,Manual
177,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,So far so good,"My husband went to the doctor after what seemed like a kidney stone attack. The doctor said he had a kidney infection and some blood in his urine. He took antibiotics for 10 days, but still we saw blood in his urine. On the tenth day he had another more minor attack of pain. During this time, since I've always believed in natural cures, I started looking on Amazon for products to get rid of stones. I found 'stone blasters' with good reviews, but reviewers often said the pain of passing the stones would still be there regardless. Then I saw the Rowatinex reviews and noticed instead reviewers saying stones passed without pain, that they either became very soft or broke apart. I looked into the product some more online and only found good reviews, no bad ones, with no side effects, so this is the one I ordered. Since people used it for eliminating stones but also for prevention of stones, I'll be taking them as well, and also keep some on hand. After a day of taking the Rowatinex my husband was no longer passing blood, he's just finishing his first bottle (2 bottles in the box). I read online he should take them for a month, he's been on 2 three times a day. He hasn't had any more pain, blood, or problems since starting them. Amazon products always come quickly, within a few days, so while waiting I had him start drinking pure apple juice which is supposed to soften stones, which he continues to drink. I gave him a cup of cranberry tea each evening as well (he doesn't like cranberry juice) as cranberry is good for the urinary tract. I've known people who've had kidney stones and the bad pain they experience especially when passing them. From all the reviews I've read now on Rowatinex I'm very confident he won't have another attack. I'm going to also purchase their other product for gallstones. I know blood in the urine is not a good sign and can be scary but I read sometimes it's simply just the stones scraping the duct it's passing through. If the blood returns I'll definitely make sure he goes back to the doctor but I'm thinking this product has taken care of the problem. I wish I could say he actually saw a stone that passed but this is our first experience with kidney stones, we're not sure if he'd notice one 'come out', esp. if this product allows them to pass without pain. All I know is he's had no more pain, no more blood in the urine.",5,27,2013-01-28,"Speaking on behalf of husband, as well as for herself! Whilst waiting for Amazon delivery, husband drank pure apple juice and a cup of cranberry tea each evening. Husband continues to drink apple juice. Husband dislikes cranberry juice, thus the tea instead. No more pain or blood in urine for husband.",1,,,,1,1,1,1,,1,1,1,"Better than 'stone-blasters', which seem good except for not as effective in preventing pain. Also better than antibiotics, which didn't stop blood in urine. Plus, natural cures like Rowatinex are also preferable.",,1,,Husband finished first bottle out of 2 at the time of the review.,2 pills x 3 times a day for a month.,"The stones scraping the insides of the duct could be causing blood in urine, rather than anything 'more serious'/rather than anything indicative of a more critical health problem needing more drastic treatment.",,0,1,A Doctor's analysis early on (because of an attack of pain) established the existence of a kidney infection and blood in urine for the husband. established,"Apple juice for stone softening, and cranberry tea for urinary tract health. Husband no longer passed blood a day after starting Rowatinex.",Rowatinex,1,,1,,Was so impressed with the product that she will also buy the company's equivalent treatment for gallstones next.,,439,Manual
178,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,Helped me pass two stones,"I found this product after doing alot of research online about kidney stones. Six years ago, I had a stone surgically removed and passed another with alot of pain. At that time, the doc told me I had other stones in my kidneys. No problems until this year when they started to slowly move through my system. Felt low-grade crappy most of the time instead of the excruciating pain I experienced the first time. I was able to pass one stone of 5mm within a week of taking Rowatinex and then two months later, passed a 6mm, jagged stone within 48 hours of taking it. When I examined the jagged stone I was amazed -- I don't know how this nasty thing passed without a trip to the ER and with no pain upon exit. Anyway, I've tried alot of other home remedies (lemon juice, stone breaker formulas) and this worked for me - it seems to me that it softens the stones so that they can be passed. I will never travel without having these in my purse. It's worth a try if you suffer from kidney stones -- heck of alot cheaper than surgery.",4,4,2012-11-23,Already had a stone surgically removed and another one passing painfully six years before this review.,1,,1,0,1,1,,,,1,,1,Cheaper than surgery. More effective than lemon juice and other stone-breaker formulas. ,,1,1,,"Passed stone 1 after a week on Rowatinex, then passed stone 2 after 48 hours.","Stone one 5mm, stone two 6mm. 2 months between stones. Stone 2 very jagged.",,,1,,This 2-stone episode was significantly less painful than the one experienced 6 years ago.,Rowatinex ,,,1,,Product spared a trip to ER regarding jagged stone 2.,,196,Manual
179,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,"Luck or not , seems to work","I was suffering a kidney stone crisis , and the stone (6mm) was at the ureter and was stucked there. It could be luck , but I started to take 5 pills a day , and at the second day , it went out ( it looks the stone splited in 3 little pieces ). The doctor said it would go out without drugs , but , after I took Rowatinex , I felt less pain , and it really seems to work. Lucky or not , I am free of that stone , and there is more 5 or 6 comming , but still inside the kidney with no pain yet. I am just writting this , months after buying the pills , because I am not a believer , but Why not to try ? if you have more questions , I am avaliable to answer.",4,1,2012-05-24,,1,,,,1,1,,1,,,,1,"Better than not taking Rowatinex, as per the Dr suggesting the stones would come out by themselves.",1,1,,,"5 pills a day, stone came out on 2nd day in 3 smaller pieces.","6mm and at the urethra. Passed on 2nd day on Rowatinex as 3 smaller pieces. Still 5 or 6 more left in kidney, painlessly (for now).",,1,1,,,Rowatinex,,,,,,,148,Manual
180,Rowatinex,Amazon,Rowatinex by Rowa,https://www.amazon.com/Rowatinex-Capsules-100-capsules-Rowa/dp/B0006NXNFA#aw-udpv3-customer-reviews_feature_div,The Best Invention Since Color TV,"Whoever has suffered a Nephritic Colic (Kidney Stones stuck in bladder canal thus provoking the so painful kidney spasms) knows that the American Medical apparatus will go the hard way, the $$$ way, the much squeezed Insurance way...From patient, to patient: If you want to stop the suffering. Use Rowatinex. Preventative, once every six mths do a week treatment and forget about the problem. Best invention after the Color TV. Also look into Vitamin D3, and Vitamin K2. Your problem may not be entirely diet (sodas, calcium containing foods) It may also be that your body has lost the ability to take calcium from tissue into the bones, where it belongs. Cheers.",5,23,2012-04-29,Seems to have experience with nephritic colic.,1,,,,1,1,1,,,,,,Better than mainstream American profit-driven medicine.,1,,,Also look into vitamins D3 and K2. Diet: avoid sodas and calcium-containing foods.,Week-long treatments every 6 months.,"Nephritic Colic: kidney stones stuck in bladder canal, thus provoking painful kidney spasms.",,,,,"If cause is not dietary, it could be that the body has lost the ability to take calcium from tissue and into the bones where it belongs.",Rowatinex ,,,1,,,,112,Manual
