author_name,age_range,time_on_treatment,condition,review_date,overall_rating,effectiveness,ease_of_use,satisfaction,review_text,helpful_votes,total_votes
graban,65-74,1 to 6 months,Other,2016-08-13,5,5,5,5,"i am ashamed of doctors that they allow us to suffer when there is this treatment.       i had more than 22 kidney stones in both kidneys i passed one on july one and one on july 4th with excrutiating pain and 3 expensive trips to the er and 2 ct scans and 1 ulrasound and tramadol and intravenous morphine.   i felt very beat up and upset with the thought of all those stones there waiting to put me within seconds into unbearable pain.      urologist told me these remaining were small and would be  easy to pass.  i said maybe theyd be easy for you with your much larger ureter but for me they are hell on earth.  i told him when i try to pass it at home with oral tramadol or morphine i violently throw them up.  what can i do?  i asked him.  he told me to take motron and eat less meat and salt!!!    after i had told him i was taking chanca piedra he scoffed at me.  and did not treat me respectfully after that.    i was 5 weeks on CHANCA PIEDRA.  i had an ultrasound on wed and i have ZERO stones.  i did not even feel them dissolve.      i feel everyone should know how simple this is.  this is a gross mistreatment of many people  many people in so called 3rd world countries do not have to needlessly suffer    they gather chanca piedra, ingest it and that is that!!    why are people suffering pain, expense and worry needlessly?    oh i also drank lots of water with lemon and or lime squeezed in.  would recommend that too since thats how it worked for me",53,53
Pankaj,25-34,1 to 6 months,Other,2016-06-11,4.666666666666667,5,4,5,,4,5
Tanner54,55-64,less than 1 month,Other,2016-04-04,4,4,4,4,"I have a 1.5 cm stone that I cannot pass. I don' have insurance so I tried lemon juice and apple cider vinegar which I have nicknamed Satan's Pee. Heard about chanca piedra and didn't have anything to lose except a coupla $$. while the pain is not gone, it is significantly lessened. hopefully, i'll see it when and if it passes and will take this stuff for awhile and hope for the best.",16,18
John,55-64,1 to 6 months,Other,2016-02-06,2,1,4,1,4 months of daily use at recommended dosages.  The results? No useful effect at all. I have more stones and they're 50% larger than the ones that put me in the hospital last year. ,11,17
mpolizzotti,55-64,6 months to less than 1 year,Other,2016-01-30,5,5,5,5,"I seemed to be manufacturing kidney stones. Heard of Chanca Piedra decided to give it a shot.  I was still getting stones however not as much, they were easier to pass when I did get them. Told my dr. about it and he didn't seem interested in hearing about it and suggested I use the medication allinpurinol. I followed the drs. suggestion. I had stopped using Chanca Piedra, and started to take what he had prescribed. What a big mistake! After a year I had to go for surgery for a kidney stone that wouldn't pass. I am going back to using Chanca Piedra. At least I know this has worked for me. ",27,27
Just a guy,55-64,less than 1 month,Other,2015-11-13,5,5,5,5,"I have been using this product for the purpose of dissolving kidney stones. I have not passed any stones after about a 3 weeks of usage but the kidney pain has stopped and I can sleep again. Some of the reviews I have read were saying about 3 months of usage before their stones passed, so I will continue and see what happens, its worth just for the pain relief.  ",24,25
,75 or over,5 to less than 10 years,Other,2015-11-02,5,5,5,5,,5,8
Vitameatavegamin,55-64,5 to less than 10 years,Other,2015-09-18,5,5,5,5,"I had classic gallbladder pain under the right side rib cage, recurring and worsening over a period of months. Doctor had me do an ultrasound and it showed a very enlarged common bile duct. I did my homework and decided to try chanca piedra before any surgery. Pain was gone within a week or two of taking it every day as directed, 15 minutes before meals. I occasionally get the gallbladder sensations or pains back when I overeat a number of days in a row, esp. if a lot of fat. Chanca again helps me get back on track. I also like the fact that it has some research showing it seems to strengthen the liver and may enable the liver to overcome some forms of hepatitis. I have noticed that the capsules seem much more effective than the tincture, for me.",110,121
MisterRon,65-74,,Other,2015-09-17,5,5,5,5,"Been using Chanca Piedra for over a decade - works great preventing Kidney Stones or getting rid of them quickly when they pop up.    However, one thing I have noticed that maybe no one has ever studied. I have definitely been diagnosed with Meiere's Disease - Never ending Tinnitus and bouts of dizziness. My ENT and my Therapist pretty much diagnosed the dizziness to loose ear crystals. Ear crystals are chemically similar to kidney stones, so I suspect the Chanca Piedra may be related to that.     Even so, I would rather have recurring bouts of dizziness than kidney stones.",18,18
memagloria,75 or over,1 to 6 months,Other,2015-09-08,5,5,5,5,Gall Stones....relief.... dependent on proper diet...been taking for over 4 wks.  and very satisfied...bottle says one per day....that is what i have been doing....but wondering if two per day would  be better...  highly recommend.  they said...Gall Bladder surgery....and so far so good...no surgery...!! yay  ,20,21
EleVation,,1 to 6 months,Other,2015-08-22,3,3,3,3,"I took the medication for 4 weeks and did not sense any improvement. The only thing that is better is that I have not had the severe pain for which I went to the doctor. This could be the medication, or it could be that I am more careful with what I eat. ",42,60
Allan,55-64,1 to 6 months,Other,2015-03-17,2,1,4,1, Was diagnosed with 1 cm calcium oxalate kidney stone . Had ultrasound and x-ray 3 months apart. Started taking Chanca Piedra as directed for 2 months. X-rays showed no difference in size of stone after taking this product. Ended up having Lithrotripsy to break up stone.,19,23
,65-74,,Other,2015-03-04,5,5,5,5,I took 2 pills 3x a day with 2 large glasses of water. I put a bit of lemon juice in to help drink the water. X-ray 2 months later showed the stone that was lodged in my kidney ( too big to pass) was gone. ,32,33
,45-54,less than 1 month,Other,2015-02-18,5,5,5,5,I had a 4mm kidney stone stuck in my ureter and I would get pain every night for 1-3 hours for 5 weeks. I was desperate to try anything to avoid surgery and decided to try the chanca piedra. I took 10 drops 2x a day (bottle called for 40 drops) and also 2 tablespoons apple cider vinegar mixed with organic honey 2x a day and the pain just disappeared. I did have little grits of sand in my urine that you could barely see but it dissolved it and I never felt a 4mm stone pass. I never had any side effects with chanca piedra. Not sure if it was the chanca piedra or apple cider vinegar but it worked. ,27,29
Paul,65-74,less than 1 month,Other,2015-02-11,5,5,5,5,Kidney stones were dissolved quickly and I had no pain in elimination I won't be without it,21,21
DrewDrew32,25-34,less than 1 month,Other,2015-01-14,5,5,5,5,"I had two occurrences of kidney stones within the last 14 months. Ultrasounds also showed one 6mm stone in my left kidney that was not moving at the time.   Over the last weekend I felt the familiar pain in my left side and started taking Chanca Piedra immediately (450 mgx3 x3 times a day). I was fully expecting a hospital visit, but the pain went away! I attribute this entirely to this herb.",30,30
Jnightingailg,55-64,less than 1 month,Other,2015-01-06,5,5,5,5,"I have used Chanca piedra to dissolve kidney stones.  It was so effective after straining my urine for 2 weeks all I had to show my urologist was a few tiny grains of sand.  Unfortunately I had a large stone in my kidney that kept breaking off smaller stone fragments, so I had shock wave lithrotripsy.  I stopped the Chanca piedra for over 2 weeks until my lithrotripsy was scheduled.  I started back on Chanca piedra while in day surgery, and my urine has cleared up nicely.  I have passed a few gritty  grains of stone gravel too small to pick up; I actually had to swipe them against the side of the strainer to get a sample and feel the texture.",26,32
Lon07,65-74,less than 1 month,Other,2014-12-28,5,5,5,5, after cat scan showing 62 kidney stones - - 7 doses in  2 days =  pain free -- now 10 days and still pain free and counting.,32,33
Kelly,45-54,less than 1 month,Other,2014-12-10,5,5,5,5,"After 36 hours of taking chanca piedra tea the kidney stone, that my surgeaon had said only an operation could evacuate because of its size and density, in my kidney came out while I was urnating. I felt no pain.",208,221
,,less than 1 month,Other,2014-11-02,4,4,4,4,I have kidney stones .had intense pain after one day .yes one day ! Of use. the pain has subsided .,83,92
,,,Other,2014-09-17,5,5,5,5,Kidney stones,37,45
Jola,45-54,1 to 6 months,Other,2014-08-30,4.666666666666667,4,5,5,"First kidney stone 2002, then 2007 where I had to go to emergency.  Several stones on both sides according to scan.  Have been taking chanca piedra platinum 450 mg approx 14 dollars now switched to AOR at 500 mg once daily approx 35 dollars.  After I took the AOR the horrible pain in my left side has subsided.  Also drinking straight lemon juice.  I hope to pass all the stones remaining.  I don't fall under the typical person who has kidney stones.  It has been a most horrific disease as no warning when you get attack.  I swear by the piedra, thank god for nature. I will continue to take this herb even if it costs hundreds of dollars because as you all know the pain from stones is excruciating.  I recommend this herb for all who suffer from stones.  I have been told I have calcium oxalate stones, never caught one but most common.  Can't say if chanca works for other types of stones.",90,98
,45-54,less than 1 month,Other,2014-07-22,5,5,5,5,"I am suffering with kidney stones and the pain was a level 10 the first day I took the Chanca Piedra, The pain stopped and hopeffuly next month after regular use the stone will disove or break up and pass which im not looking forward to but better that than damage to the kidneys . I love this product and would recommend it to anyone with kidney stones ",81,83
Naturalman,55-64,less than 1 month,Other,2014-07-07,5,5,5,5,I was diagnosed with 7mm stone and was sent away with some drugs for pain and to wait for appointment to see specialist so I tried this and by the late afternoon the pain had gone away and I passed a somewhat softer version of a kidney stone.  This stuff works.,91,93
Sharon B,55-64,less than 1 month,Other,2014-06-05,5,5,5,5,I had recurring kidney stones for several years and after taking chanka piedra that eliminated my pain about three years ago have never had another recurrance. ,61,63
,45-54,less than 1 month,Other,2014-06-01,5,5,5,5,Worked like magic for jaundice contacted while in India. Yellow color of eyes and skin disappeared in a week. Found that it is the most prescribed treatment for hepatitis and liver disease by doctors in India.,7,7
J Puf,55-64,less than 1 month,Other,2013-12-15,4.666666666666667,5,4,5,"This treatment enabled me to pass stones in my ureter and helped shrink stones in kidneys to make them passable. I plan on making this a regular treatment for my ""sponge kidney"" disease.",60,63
Tommy,55-64,less than 1 month,Other,2013-06-03,5,5,5,5,"Suffered with kidney stones for several years and had one removed surgically. A year or so after surgery the familiar pain returned on my right side. I had done some research and when my pain was getting severe again I found a store that sold this medicine. My pain disappeared in 20 minutes! After months of suffering I could not believe it. About 10 years later I had to use it again for one day and it again did the job. This is in my opinion the best medicine that few people know about. It has no real side effects beside lowering sugar levels, blood pressure and soothing the stomach. Don't hesitate if you have stones, you won't be disappointed.",113,116
hercule_poirot,45-54,1 to 6 months,Other,2013-06-02,5,5,5,5,"I was diagnosed with 3 kidney stones blocking my left ureter then I went for an ultrasound procedure to get them blasted. Nothing happened. Trying to avoid a surgery I loked on the internet and found Chanca Piedra. I took 2 bottles of 90 capsules each during 28 days as written on the packaking. Then nothing happened for 3 weeks and the surgery date was around the corner when the wonder happened. I eliminated the 2 stones(8 and 9 mm) with no pain at all, no infection...This is exactly what happened!",108,120
,,less than 1 month,Other,2013-04-15,5,5,5,5,Used for kidney stones and pain from stones moving. I have used on more than one occasion.1 tablespoon powder as a tea in hot water. add juice from 1/2 lemon. Use when you suspect slightest pain in kidney area. ,60,62
,55-64,1 to 6 months,Other,2013-02-05,5,5,5,5,Helped with incontinence and regulating urine flow.,33,35
cherry,35-44,less than 1 month,Other,2012-12-16,5,5,5,5,My friend's father who was suffering from a staghorned stone in his kidney just excreted a stone almost HALF-INCH large after taking the bitter type of tea of chanca piedra for more than just two weeks,68,68
Batang Cainta,55-64,6 months to less than 1 year,Other,2012-11-04,5,5,5,5,"Before I decide to use the Chanca Piedra Tea, I use other herbal products that was offered to me but no effect at all. I only wasted my money spending for the commercialize product. When I use the ads in sulit the Chanca Piedra I decide to buy it and I feel improved after taking the tea in a weeks. Presently I still continue drinking the tea. Here is the contact number for those who wish to buy the Tea - 0916.246.46.35. They sell it pure sampa sampalukan herbal tea. ",13,13
HBV carrier,25-34,less than 1 month,,2012-10-01,5,5,5,5,after only 1 month my HBV DNA went from 7500 UI to only 20 UI.,9,9
odes,25-34,1 to 6 months,Other,2012-09-15,5,5,5,5,Chanca piedra is the best natural herbal medicine for all illness specially for thyroid and viral infection coz me i have hepe b now i'm free for this illness. ,17,17
ians5744,55-64,1 to 6 months,Other,2012-09-12,5,5,5,5,3 months ago I had to go by ambulance to the hospital because I had a 6mm stone stuck 1 inch above the bladder. The 3 stones have been in my kidneys for 6 years now and they were 9mm 6mm and 4mm. The 6mm decided it wanted to leave and that started the problems. I started taking the stone breaker 3 times a day and when I went back to the doctor 3 months later as that is how long it took to get in to see the doctor the xray showed nothing was there. So the doctor order another xray a cat scan this time as it is more accurate. I went today and the results were the 6mm is gone and the 9mm and 4mm that were left in the kidneys are now only a few pieces that are 2-3mm in size. This worked better than I ever thought it would as I was just hoping it would get ride of the one 6mm stuck just outside the bladder. I am going to order more and take it for the next year as that is when I am to go back to the doctor and see if it gets rid of the 2-3mm pieces that are left. I would recommend this product to anyone with kidney stones and if you don't see results at first just keep taking it as it may take longer for different people as there stones may be different.,115,116
DMeister,35-44,less than 1 month,Other,2011-11-29,4.333333333333333,5,3,5,An ultrasound revealed I had a kidney stone and was advised it would pass within a week. Researched and found chanca piedra and started taking 3 times a day as noted on bottle. CT scan a week later showed kidney stone was completely gone. It had passed and I didn't have a clue when it did. I plan to incorporate this into my diet as a preventative measure. I did have trouble with the liquid form (30-40 drops per one glass of water) as it had a strong celery smell and taste. I will definitely switch to pill form!,80,82
,45-54,2 to less than 5 years,Other,2011-11-28,5,5,5,5,i tried this just for prostate maintenance...my riends told me that it was good for this. the surprising thing was that it really took care of my gas problems...top and below...i feel so relieved.,44,46
,55-64,less than 1 month,Other,2011-10-15,1,1,1,1,Bad cramps and vivid dreams.,14,39
MLH,55-64,less than 1 month,Other,2011-10-01,5,5,5,5,I AM TAKING CHANCE PIEDRA FOR GOUT AND IT IS VERY EFFECTIVE WITHOUT THE HARMFUL SIDE  AFFECTS OF THE PRESCRIPTION DRUGS. I HAD DEVELOPED CHRONIC GOUT AND HAVE NOT HAD ANY SYMPTOMS SINCE I STATRED THE TREATMENT.,59,62
deedee,45-54,1 to 6 months,Other,2011-08-09,5,5,5,5,I'v been taking it for gallstones have been taking for 4 months. No side effects whatsoever no gallstone pain. ,88,91
Chanca User,35-44,1 to 6 months,Other,2010-09-07,4.333333333333333,5,3,5,"I was using chanca piedra for kidney stones for about a month. It worked for me. But there are some problems I need to share. Right after I drink the tea, I start feeling very tired and sleepy. Long term usage would result in tiredness and fatigue.  The tea should not be used by people whose diet is low in fat and carbs!",93,101
,,1 to less than 2 years,Other,2010-02-17,5,5,5,5,"I took Chanca Piedra with another herb  Hercampuri, to treat Acid Reflux. It improved my condition within 2 months, but since it recurred occasionally I was advised to continue it for a year.     At the end of six months the acid reflux was gone. An unexpected benefit was the elimination of moderate/severe eczema that I had had for over 30 years! I stopped taking the extremely strong topical steroids and have not gone back, it has been almost 2 years since.     These herbs are wonderful. I had no side effects. I continued the treatment for another year as I reintroduced foods that formerly I had sensitivity to. I have tiny patches of eczema that have occasionally recurred when I indulge heavily in nuts or tomatoes. Nothing like what I had before.",89,93
,25-34,less than 1 month,Other,2010-02-07,5,5,5,5,"I am 26 and had my first kidney stone this week.  I was advised to purchase this after the traditional medication was not easing my suffering.  This could be a coincidence, but after 12 hours the pain was gone.  I still have not expelled the stone after 2 days of use, but my energy level has returned.  I am feeling like myself again!",85,88
,55-64,6 months to less than 1 year,Other,2009-12-09,5,5,5,5,"I have suffered from Kidney Stones for most of my life. The most I have had at one time is 8. Needless to say this condition has had a significant impact on my life. I can not work when I have multiple stones and the pain is beyond words. I have spent up to a month waiting for a stone to pass. Also I have had several surgeries to remove the stone/stones at a considerable expense. The recovery from a kidney stone operation is dreadful with lots of pain and bleading. A friend sent me an article on Chanca Piedra (Phyllanthus niruri). I immediately purchased some in a capsule form 500 mg. I take it three times a day. Since taking this herbal supplement I have not had any kidney stones, when in the past I would get at least one every two months. I highly recommend that people try this herbal supplement if they suffer from kidney stones. It can be purchased at most local herbal shops or on line. It has worked for me.",191,196
